# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
1480.64  784.91  -695.73
483.25  474.30  -8.95
669.96  672.96  3.00
437.72  515.64  77.91
598.04  620.10  22.06
457.30  389.99  -67.31
398.18  388.69  -9.48
398.57  425.64  27.07
650.82  690.74  39.92
457.53  465.90  8.36
456.30  505.96  49.65
600.27  620.43  20.16
468.30  484.93  16.63
467.73  551.38  83.65
486.60  492.92  6.31
618.06  582.29  -35.77
362.23  402.76  40.53
561.95  668.11  106.15
841.16  625.61  -215.55
631.90  587.08  -44.83
353.76  410.11  56.34
582.72  595.30  12.58
708.87  715.59  6.71
618.05  624.85  6.80
496.62  502.43  5.81
1401.14  1464.40  63.26
573.74  701.74  128.00
687.28  681.30  -5.98
456.49  461.97  5.48
404.46  425.78  21.32
422.83  373.53  -49.30
568.92  591.30  22.38
502.53  424.93  -77.60
362.88  405.62  42.74
601.99  579.81  -22.18
445.53  455.02  9.49
420.23  397.45  -22.78
878.84  699.15  -179.70
724.84  602.17  -122.67
486.49  527.10  40.61
546.63  466.51  -80.13
350.68  388.29  37.61
551.16  532.57  -18.60
721.35  568.93  -152.42
961.15  615.37  -345.78
610.98  569.17  -41.80
494.69  501.00  6.31
859.35  800.79  -58.56
461.60  386.67  -74.93
431.30  415.16  -16.14
466.11  510.09  43.99
411.01  426.20  15.18
426.60  482.30  55.70
541.57  473.26  -68.30
427.93  419.77  -8.16
813.91  847.34  33.43
358.90  380.35  21.45
434.37  413.47  -20.91
775.87  769.38  -6.49
525.62  533.91  8.28
381.57  407.61  26.05
786.06  520.72  -265.34
439.33  410.82  -28.50
446.73  444.85  -1.88
693.68  670.72  -22.95
369.57  388.57  19.01
500.02  627.89  127.86
694.45  834.59  140.14
451.26  419.19  -32.07
372.96  406.47  33.51
1684.85  1798.97  114.12
380.57  415.39  34.83
659.42  626.60  -32.83
418.65  473.15  54.50
396.45  587.46  191.01
426.28  450.69  24.42
656.79  598.09  -58.71
379.45  405.69  26.24
568.75  461.35  -107.41
388.70  452.10  63.40
460.31  455.45  -4.85
567.77  435.91  -131.86
623.49  543.34  -80.15
517.39  396.26  -121.13
770.14  671.33  -98.80
1262.00  1011.08  -250.92
510.00  519.19  9.18
442.10  587.23  145.12
411.42  443.24  31.82
452.86  503.92  51.06
402.97  386.67  -16.30
480.50  434.22  -46.28
712.17  613.37  -98.79
607.70  613.60  5.90
394.76  485.87  91.11
817.62  698.30  -119.32
486.21  521.65  35.43
570.70  450.61  -120.09
351.21  374.53  23.32
617.57  613.61  -3.95
491.53  458.84  -32.69
763.87  746.07  -17.80
427.73  405.62  -22.12
495.52  557.12  61.60
672.48  607.05  -65.43
603.50  598.75  -4.75
427.80  427.61  -0.19
614.59  554.65  -59.94
730.61  594.08  -136.52
642.60  669.18  26.58
380.74  394.51  13.77
454.78  457.55  2.76
461.25  632.46  171.21
498.97  562.65  63.68
445.48  420.36  -25.12
356.48  377.20  20.73
439.89  505.17  65.29
420.20  483.13  62.92
404.46  441.81  37.35
412.23  440.39  28.16
602.22  586.81  -15.41
359.91  416.29  56.38
437.41  466.41  28.99
645.30  589.86  -55.44
1236.95  844.11  -392.83
792.02  925.37  133.35
767.77  1246.20  478.43
397.30  416.44  19.14
521.21  621.16  99.95
495.19  568.42  73.23
372.81  399.18  26.37
495.77  526.64  30.87
577.87  471.87  -106.00
499.81  561.55  61.73
609.65  605.57  -4.08
674.19  739.80  65.60
495.28  513.38  18.11
924.27  1100.14  175.87
436.12  482.49  46.37
571.21  542.79  -28.42
541.68  470.68  -71.00
470.74  510.44  39.70
469.69  503.83  34.13
356.66  381.79  25.13
375.79  460.45  84.66
549.06  472.70  -76.36
375.73  407.44  31.71
409.32  437.76  28.44
888.32  805.35  -82.97
1024.18  1057.27  33.09
554.11  512.26  -41.85
359.97  392.03  32.06
428.52  428.12  -0.40
470.08  532.72  62.63
708.68  551.73  -156.95
669.91  761.47  91.56
557.14  603.11  45.97
619.73  575.78  -43.95
359.16  384.93  25.76
394.30  406.86  12.56
393.89  450.10  56.21
503.56  698.64  195.08
622.47  538.66  -83.81
599.98  490.83  -109.15
446.32  397.69  -48.62
839.23  673.53  -165.71
459.17  474.35  15.18
577.06  530.37  -46.69
442.54  411.49  -31.05
648.67  698.21  49.54
369.71  396.48  26.78
639.03  598.65  -40.37
390.62  400.37  9.74
500.25  507.88  7.63
365.59  409.20  43.61
437.48  406.41  -31.07
444.88  430.44  -14.44
434.64  410.15  -24.49
521.01  547.91  26.90
457.70  436.74  -20.96
835.09  798.80  -36.28
448.63  483.44  34.81
508.31  479.02  -29.28
542.68  519.78  -22.89
398.16  440.72  42.57
365.30  421.15  55.85
387.79  403.27  15.48
384.82  400.03  15.21
411.95  494.10  82.15
384.88  402.20  17.31
451.84  492.09  40.25
521.37  579.82  58.45
506.28  464.35  -41.93
1034.97  1093.70  58.73
459.78  412.04  -47.74
351.47  377.40  25.93
503.40  572.19  68.78
866.52  942.49  75.96
391.36  432.55  41.19
615.02  478.98  -136.04
453.74  592.20  138.46
493.15  622.70  129.55
487.39  535.34  47.94
460.75  420.03  -40.72
533.09  479.71  -53.38
514.93  505.62  -9.31
778.01  756.24  -21.77
655.39  696.19  40.80
466.31  551.22  84.91
498.22  447.43  -50.78
466.39  478.51  12.12
413.91  412.79  -1.12
356.91  382.63  25.73
675.26  651.03  -24.23
447.91  449.43  1.52
446.58  589.13  142.55
365.47  393.09  27.61
396.39  474.38  77.99
910.55  697.64  -212.92
955.23  1141.95  186.72
445.97  426.13  -19.84
810.21  643.04  -167.17
587.69  599.25  11.56
607.13  666.14  59.00
351.31  371.23  19.92
604.82  494.08  -110.74
397.04  454.67  57.63
484.66  516.62  31.96
576.98  594.83  17.85
382.20  379.94  -2.26
408.03  479.74  71.72
571.15  704.15  133.00
470.78  716.60  245.81
661.24  745.49  84.25
494.84  488.20  -6.64
438.17  464.69  26.52
599.40  527.07  -72.33
456.69  415.43  -41.26
540.75  596.62  55.87
578.63  615.41  36.78
502.30  539.95  37.65
424.39  449.52  25.14
568.59  491.54  -77.06
449.90  454.41  4.51
484.51  471.93  -12.58
411.20  415.37  4.17
349.70  381.50  31.79
901.68  946.18  44.50
688.66  695.20  6.55
591.27  656.09  64.82
669.14  707.12  37.97
668.10  500.05  -168.05
638.42  564.74  -73.67
476.38  515.35  38.98
686.32  708.37  22.05
825.70  680.51  -145.19
460.26  427.53  -32.73
347.15  380.20  33.05
496.11  434.27  -61.84
595.86  632.86  37.00
645.04  662.65  17.61
667.98  642.12  -25.85
400.27  435.35  35.08
700.82  714.67  13.85
383.81  438.47  54.66
496.69  412.94  -83.75
626.40  505.41  -121.00
518.15  430.79  -87.37
825.68  630.65  -195.03
682.51  643.84  -38.67
357.80  438.26  80.46
386.50  378.83  -7.67
386.90  411.91  25.01
590.58  585.22  -5.36
626.46  624.35  -2.12
1501.58  1535.96  34.38
392.00  430.00  37.99
356.39  396.97  40.57
384.32  386.58  2.26
731.99  660.15  -71.84
460.24  408.23  -52.01
448.36  440.68  -7.68
702.50  618.39  -84.12
584.45  544.44  -40.01
455.37  449.23  -6.14
495.09  513.22  18.13
664.80  727.35  62.55
350.42  399.56  49.14
474.31  436.89  -37.42
644.84  501.89  -142.95
382.63  402.37  19.74
535.94  558.97  23.02
559.85  520.21  -39.64
561.10  485.72  -75.38
421.16  450.52  29.36
516.87  497.99  -18.88
524.76  394.92  -129.84
424.59  428.46  3.87
446.57  470.82  24.25
506.74  547.64  40.90
520.53  822.04  301.51
549.39  529.49  -19.90
393.55  446.42  52.86
824.94  837.83  12.89
402.82  420.87  18.05
466.00  451.57  -14.43
498.83  486.78  -12.06
395.56  421.59  26.04
624.51  535.05  -89.46
526.83  424.03  -102.80
821.54  791.12  -30.42
388.80  469.20  80.41
501.14  529.27  28.13
549.07  608.37  59.30
484.54  486.59  2.05
543.74  631.34  87.59
845.73  920.83  75.10
375.41  421.64  46.22
936.55  826.37  -110.18
624.33  468.58  -155.75
471.61  407.69  -63.92
499.22  486.02  -13.20
589.91  693.58  103.67
345.85  397.88  52.04
464.21  496.36  32.15
804.20  637.06  -167.13
488.84  444.76  -44.08
1085.81  1057.80  -28.01
377.10  420.96  43.86
438.71  406.26  -32.45
512.88  472.33  -40.55
539.99  539.03  -0.96
562.39  520.95  -41.44
585.23  534.07  -51.16
470.42  451.75  -18.67
477.12  486.96  9.84
367.35  407.40  40.05
351.28  378.80  27.53
476.69  422.91  -53.78
633.42  748.32  114.90
628.81  632.69  3.88
953.40  906.25  -47.15
643.02  724.72  81.70
622.36  564.01  -58.35
555.30  534.63  -20.66
365.76  379.43  13.67
463.91  446.79  -17.13
495.07  554.01  58.94
440.26  386.42  -53.84
509.24  545.02  35.78
385.94  416.49  30.55
443.27  467.71  24.45
498.01  685.81  187.80
496.44  490.50  -5.93
817.84  857.83  40.00
519.95  468.00  -51.95
461.92  435.71  -26.20
493.38  519.51  26.13
435.75  381.76  -53.99
472.06  407.42  -64.64
436.74  388.15  -48.58
625.89  421.20  -204.69
374.67  383.49  8.81
481.33  630.82  149.49
745.56  529.07  -216.49
681.86  696.91  15.05
758.77  785.47  26.70
378.25  419.41  41.16
454.85  503.75  48.89
378.77  381.78  3.02
473.67  502.64  28.97
370.06  417.35  47.29
373.20  421.29  48.08
463.73  485.31  21.58
437.58  379.86  -57.72
470.59  431.36  -39.23
429.18  481.82  52.64
373.96  396.52  22.56
403.76  379.74  -24.02
709.09  670.14  -38.95
506.14  491.43  -14.71
512.12  504.42  -7.70
354.26  375.97  21.71
938.00  891.56  -46.44
585.75  685.40  99.65
413.83  415.06  1.23
610.19  528.91  -81.28
426.09  408.67  -17.42
614.46  580.11  -34.34
363.60  454.86  91.26
535.61  452.98  -82.63
949.93  814.43  -135.50
784.03  516.35  -267.67
548.25  560.30  12.05
428.95  475.45  46.50
361.26  392.26  31.00
770.45  747.56  -22.89
503.50  438.77  -64.73
628.49  575.29  -53.21
509.59  580.83  71.24
919.10  797.84  -121.26
739.38  749.85  10.47
374.17  468.41  94.24
708.93  573.05  -135.88
434.08  508.92  74.84
456.38  443.77  -12.60
596.74  515.59  -81.15
481.58  503.95  22.37
518.19  580.75  62.56
610.23  650.72  40.49
401.30  390.77  -10.53
757.78  707.15  -50.63
383.28  406.84  23.56
432.67  401.22  -31.45
548.33  672.08  123.75
562.50  472.98  -89.52
720.14  708.47  -11.66
598.18  569.72  -28.46
351.25  385.46  34.21
375.90  413.18  37.28
352.04  410.84  58.80
806.84  834.36  27.51
815.81  740.70  -75.11
481.06  472.92  -8.15
396.42  507.94  111.52
489.39  479.55  -9.84
419.11  446.20  27.08
578.81  674.56  95.74
420.18  377.44  -42.74
553.01  503.43  -49.58
500.97  480.36  -20.62
552.77  599.43  46.66
680.98  436.10  -244.87
548.07  408.20  -139.87
471.53  503.78  32.25
688.95  711.57  22.62
362.01  392.63  30.62
480.82  447.40  -33.43
633.96  606.96  -26.99
483.65  509.80  26.16
427.05  403.89  -23.16
480.60  458.37  -22.23
357.92  381.62  23.70
589.08  648.60  59.52
506.79  608.19  101.40
920.95  884.82  -36.13
402.56  425.66  23.09
350.02  446.85  96.82
517.28  524.85  7.58
571.09  492.30  -78.79
745.59  652.62  -92.97
394.59  447.49  52.90
1073.74  1138.43  64.69
353.94  370.86  16.93
990.95  808.23  -182.72
503.06  418.96  -84.11
543.16  527.47  -15.69
1076.23  1135.22  58.99
369.87  391.69  21.82
452.08  496.05  43.97
418.55  393.74  -24.81
713.62  754.09  40.47
674.48  616.87  -57.60
1029.67  623.44  -406.23
518.14  448.42  -69.72
581.67  631.55  49.88
434.28  402.16  -32.11
696.54  759.32  62.78
521.93  491.96  -29.97
450.00  407.57  -42.43
548.10  505.20  -42.90
412.76  391.71  -21.05
430.60  455.10  24.50
407.81  446.27  38.45
485.66  524.79  39.14
1138.66  1140.75  2.08
415.15  401.66  -13.49
457.16  472.69  15.53
543.99  564.16  20.17
656.51  617.39  -39.12
427.06  435.45  8.39
853.88  872.85  18.98
392.20  373.70  -18.50
753.28  670.68  -82.60
435.23  431.75  -3.48
451.43  481.17  29.73
490.69  525.24  34.56
710.27  532.74  -177.53
401.96  391.83  -10.13
347.26  386.51  39.25
358.44  410.63  52.19
615.80  549.59  -66.21
438.90  395.11  -43.79
399.42  377.53  -21.89
580.75  612.10  31.35
467.44  501.32  33.88
394.85  400.74  5.89
667.15  497.24  -169.92
401.28  443.81  42.53
516.64  407.27  -109.38
488.58  512.48  23.90
413.09  502.99  89.90
452.98  641.28  188.30
412.87  444.31  31.44
371.65  421.52  49.87
642.11  584.22  -57.89
1118.01  1016.44  -101.58
619.12  514.07  -105.05
935.17  854.80  -80.37
554.70  559.02  4.31
1143.14  921.79  -221.35
1022.23  803.71  -218.51
402.60  391.89  -10.71
384.98  472.37  87.39
496.04  448.16  -47.88
492.71  501.88  9.16
859.73  764.90  -94.83
426.93  446.35  19.42
974.97  770.11  -204.86
527.99  503.42  -24.56
570.50  630.55  60.05
351.62  398.86  47.24
713.36  602.42  -110.94
405.20  376.44  -28.76
440.95  439.67  -1.28
510.66  512.81  2.15
462.98  502.61  39.64
472.16  541.92  69.76
554.61  546.50  -8.11
389.44  399.29  9.84
656.11  675.47  19.36
1161.62  1091.29  -70.33
479.68  543.83  64.15
1071.13  1156.64  85.51
395.70  493.23  97.53
486.87  500.04  13.16
398.67  444.48  45.81
474.80  484.50  9.70
457.33  474.78  17.45
500.70  436.92  -63.78
465.97  462.97  -3.00
413.58  538.12  124.54
732.08  514.89  -217.19
447.93  416.29  -31.64
406.56  414.92  8.36
499.70  485.89  -13.81
487.55  597.13  109.58
993.02  832.18  -160.84
523.43  613.94  90.52
361.33  442.12  80.79
596.08  588.29  -7.79
400.46  415.10  14.65
781.29  689.99  -91.30
936.19  982.22  46.03
625.82  669.53  43.72
565.00  622.75  57.75
619.61  723.57  103.96
400.27  406.85  6.58
430.10  456.27  26.17
663.98  783.94  119.96
846.62  831.06  -15.57
394.69  395.96  1.27
491.57  436.48  -55.09
391.22  399.26  8.04
514.32  582.29  67.98
355.93  398.67  42.74
513.78  484.49  -29.30
523.36  605.90  82.55
590.81  612.40  21.58
356.13  468.17  112.04
443.80  495.20  51.40
550.61  589.21  38.60
649.45  525.62  -123.83
632.57  569.98  -62.59
905.69  851.98  -53.71
902.42  955.33  52.91
765.38  822.94  57.55
464.75  487.86  23.10
423.73  477.10  53.36
598.20  838.45  240.25
552.84  586.01  33.17
769.14  825.84  56.70
350.88  374.43  23.56
645.97  726.07  80.10
400.79  468.27  67.48
338.39  415.94  77.55
541.04  588.52  47.47
448.45  463.59  15.14
423.13  447.57  24.44
656.23  637.60  -18.63
1409.12  1077.23  -331.89
544.03  457.87  -86.17
478.54  516.59  38.05
415.14  441.75  26.62
606.69  636.79  30.09
381.49  425.97  44.48
705.19  487.20  -218.00
380.38  434.54  54.16
392.17  436.48  44.31
481.02  446.59  -34.43
496.47  467.71  -28.76
899.67  880.31  -19.35
461.63  429.28  -32.34
473.42  419.62  -53.80
352.12  417.11  64.98
522.96  525.79  2.82
492.90  428.38  -64.52
416.19  469.18  52.99
596.54  563.97  -32.57
600.57  695.59  95.02
568.46  623.65  55.20
424.51  467.54  43.03
446.77  408.75  -38.02
468.13  415.70  -52.43
557.61  632.11  74.50
499.38  426.89  -72.48
465.48  475.03  9.54
495.75  468.23  -27.52
462.30  404.02  -58.27
784.03  721.59  -62.44
591.00  663.19  72.19
509.45  502.33  -7.13
761.15  808.28  47.12
398.68  455.30  56.62
426.26  466.81  40.55
399.95  436.38  36.43
493.68  496.73  3.05
759.26  785.12  25.86
419.29  495.13  75.84
921.51  981.03  59.52
605.51  669.26  63.75
384.43  382.69  -1.74
747.64  718.20  -29.44
746.73  897.60  150.87
367.73  402.54  34.81
490.46  489.97  -0.49
1083.46  1267.76  184.31
505.51  466.36  -39.15
640.50  565.33  -75.17
398.33  413.82  15.48
530.99  526.44  -4.55
378.83  396.35  17.52
555.66  625.58  69.92
700.06  670.47  -29.59
387.63  408.86  21.23
746.75  607.90  -138.86
371.20  434.41  63.21
860.11  1106.27  246.16
841.04  787.55  -53.49
401.03  414.90  13.87
525.79  504.62  -21.17
420.19  435.89  15.70
360.08  409.72  49.64
532.89  553.43  20.54
392.05  428.08  36.03
440.44  451.22  10.77
357.81  397.81  40.00
425.70  448.61  22.91
430.14  508.53  78.38
507.76  412.56  -95.20
486.13  443.60  -42.54
604.07  581.12  -22.95
399.36  452.15  52.78
526.56  801.52  274.96
414.36  440.78  26.42
507.72  519.09  11.36
359.08  435.18  76.10
425.05  477.43  52.38
442.69  487.18  44.49
540.93  521.59  -19.34
448.96  416.84  -32.12
378.85  452.34  73.48
407.06  412.69  5.63
437.01  462.54  25.53
505.35  497.07  -8.28
881.01  770.85  -110.16
839.32  692.09  -147.23
438.50  487.23  48.73
387.03  391.75  4.72
571.02  488.27  -82.76
407.75  473.03  65.29
501.05  447.61  -53.43
629.01  565.48  -63.52
686.80  564.20  -122.61
1097.83  1133.44  35.62
394.86  417.22  22.36
434.49  464.58  30.10
535.71  515.53  -20.18
356.62  375.83  19.21
771.43  689.08  -82.35
450.32  411.81  -38.52
591.52  529.77  -61.75
722.83  620.83  -102.00
618.63  563.88  -54.75
453.64  484.97  31.33
616.05  544.82  -71.23
448.57  470.68  22.11
617.60  722.38  104.78
420.64  424.28  3.64
1075.31  662.09  -413.23
505.79  719.67  213.89
455.14  449.35  -5.79
1541.66  937.59  -604.07
620.69  547.43  -73.26
574.74  561.96  -12.78
430.62  372.77  -57.85
485.62  383.42  -102.20
732.94  666.54  -66.40
577.56  532.27  -45.29
538.84  606.47  67.63
396.36  457.51  61.15
405.39  403.00  -2.39
692.77  702.91  10.14
728.74  601.95  -126.79
430.54  490.07  59.53
562.21  581.88  19.67
795.07  594.31  -200.76
697.62  607.36  -90.26
760.07  709.20  -50.86
446.93  459.05  12.12
404.49  474.23  69.74
427.57  396.16  -31.41
625.30  485.32  -139.98
388.14  404.40  16.25
375.22  426.34  51.12
369.46  383.73  14.27
425.09  522.02  96.94
404.01  396.91  -7.11
515.99  441.76  -74.23
629.95  642.61  12.66
407.64  470.68  63.04
493.66  507.34  13.68
353.17  400.59  47.41
576.77  593.82  17.05
406.37  488.03  81.66
459.54  450.19  -9.35
469.08  541.16  72.08
366.36  401.78  35.43
660.32  568.87  -91.45
489.28  523.71  34.43
423.81  398.82  -24.99
494.77  567.10  72.33
398.15  442.29  44.14
452.50  413.01  -39.49
556.62  599.85  43.23
793.57  902.82  109.26
599.38  434.94  -164.44
663.98  650.03  -13.95
1599.20  1171.14  -428.06
487.63  631.18  143.55
572.59  586.11  13.52
592.25  534.20  -58.06
588.07  617.34  29.27
474.27  516.96  42.68
483.63  485.10  1.47
562.93  534.00  -28.93
401.85  413.62  11.78
368.21  440.08  71.87
439.79  570.02  130.23
389.15  369.76  -19.39
424.07  460.76  36.68
756.26  786.84  30.58
779.83  739.98  -39.85
486.07  562.79  76.72
766.36  682.46  -83.90
496.70  447.13  -49.58
386.42  410.49  24.07
407.49  470.61  63.11
392.45  445.43  52.98
372.13  391.44  19.31
622.62  647.07  24.44
398.76  409.85  11.09
431.09  433.38  2.29
769.95  753.04  -16.91
509.38  554.36  44.98
751.75  1077.21  325.46
508.24  541.79  33.54
562.85  535.27  -27.58
473.93  457.84  -16.08
522.37  564.44  42.07
479.89  508.51  28.62
397.93  439.36  41.43
439.24  456.58  17.34
368.18  432.00  63.81
415.09  418.95  3.86
630.57  662.73  32.16
482.56  518.17  35.61
691.26  741.73  50.47
551.47  563.70  12.23
431.34  495.56  64.21
492.31  430.69  -61.62
405.04  381.50  -23.54
418.18  423.96  5.78
534.71  634.93  100.22
1169.16  1103.99  -65.17
464.74  424.17  -40.57
665.39  534.69  -130.69
412.65  392.23  -20.43
406.67  400.40  -6.27
527.13  420.76  -106.37
507.40  403.99  -103.40
380.21  429.16  48.94
640.96  695.14  54.18
584.53  477.03  -107.50
595.46  664.04  68.58
568.84  508.02  -60.82
350.92  423.04  72.12
414.74  426.78  12.04
443.89  546.92  103.02
402.67  468.71  66.04
908.85  645.42  -263.44
445.69  455.45  9.76
364.17  403.94  39.77
405.34  403.08  -2.25
391.13  406.79  15.65
351.44  380.06  28.62
435.33  446.28  10.95
442.12  444.30  2.18
489.88  438.71  -51.17
450.39  515.44  65.05
401.36  407.07  5.71
591.97  725.60  133.63
400.38  422.26  21.88
598.72  640.74  42.01
397.46  509.14  111.68
357.55  421.34  63.79
665.63  615.95  -49.68
617.02  509.00  -108.02
611.75  582.03  -29.71
377.75  776.14  398.39
457.46  394.33  -63.13
