# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
804.77  708.76  -96.01
381.03  389.66  8.63
476.57  489.50  12.94
360.27  384.60  24.33
525.21  507.32  -17.89
362.74  406.48  43.74
493.20  494.05  0.85
1480.64  782.20  -698.44
483.25  456.34  -26.90
669.96  744.70  74.73
437.72  509.82  72.10
598.04  588.59  -9.45
457.30  390.90  -66.39
398.18  393.76  -4.41
398.57  424.72  26.15
650.82  674.98  24.15
457.53  473.45  15.92
456.30  506.45  50.15
600.27  631.50  31.23
468.30  498.33  30.03
467.73  545.69  77.96
486.60  484.77  -1.84
618.06  604.94  -13.12
362.23  406.90  44.67
561.95  669.07  107.11
841.16  652.50  -188.66
631.90  583.60  -48.30
353.76  417.43  63.66
582.72  620.02  37.30
708.87  715.20  6.32
618.05  620.64  2.59
496.62  495.18  -1.44
1401.14  1257.38  -143.76
573.74  689.01  115.27
687.28  718.34  31.06
456.49  456.72  0.23
404.46  431.11  26.65
422.83  380.42  -42.41
568.92  602.96  34.04
502.53  417.85  -84.68
362.88  390.50  27.62
601.99  607.67  5.68
445.53  454.03  8.49
420.23  389.53  -30.70
878.84  726.69  -152.15
724.84  596.46  -128.38
486.49  567.21  80.72
546.63  464.60  -82.03
350.68  385.83  35.15
551.16  523.03  -28.14
721.35  573.08  -148.27
961.15  688.64  -272.51
610.98  572.55  -38.42
494.69  516.90  22.22
859.35  895.33  35.97
461.60  393.55  -68.05
431.30  415.51  -15.79
466.11  487.16  21.06
411.01  395.85  -15.16
426.60  475.27  48.67
541.57  480.34  -61.23
427.93  424.52  -3.41
813.91  873.43  59.53
358.90  385.18  26.27
434.37  409.74  -24.64
775.87  773.53  -2.34
525.62  528.38  2.76
381.57  408.05  26.49
786.06  514.53  -271.53
439.33  428.41  -10.92
446.73  438.61  -8.12
693.68  651.17  -42.51
369.57  386.78  17.21
500.02  642.71  142.68
694.45  845.23  150.78
451.26  414.16  -37.10
372.96  405.64  32.68
1684.85  1823.47  138.61
380.57  413.84  33.28
659.42  652.57  -6.85
418.65  466.94  48.29
396.45  588.36  191.91
426.28  458.52  32.25
656.79  614.88  -41.91
379.45  409.05  29.60
568.75  468.97  -99.78
388.70  447.86  59.16
460.31  470.42  10.11
567.77  435.77  -132.00
623.49  490.22  -133.27
517.39  409.66  -107.73
770.14  746.44  -23.70
1262.00  1069.86  -192.14
510.00  531.03  21.03
442.10  631.38  189.27
411.42  450.20  38.78
452.86  492.11  39.25
402.97  402.11  -0.86
480.50  452.77  -27.73
712.17  622.96  -89.21
607.70  613.84  6.15
394.76  468.92  74.15
817.62  714.32  -103.31
486.21  556.94  70.73
570.70  441.32  -129.38
351.21  375.89  24.69
617.57  656.37  38.80
491.53  454.95  -36.59
763.87  731.73  -32.14
427.73  413.12  -14.62
495.52  562.51  66.99
672.48  612.09  -60.39
603.50  592.38  -11.12
427.80  440.31  12.50
614.59  530.81  -83.77
730.61  564.35  -166.26
642.60  652.50  9.91
380.74  398.68  17.94
454.78  436.79  -17.99
461.25  632.35  171.09
498.97  516.77  17.80
445.48  422.10  -23.38
356.48  397.56  41.09
439.89  484.26  44.37
420.20  477.11  56.91
404.46  427.28  22.82
412.23  451.42  39.19
602.22  598.58  -3.64
359.91  416.96  57.06
437.41  461.81  24.39
645.30  606.32  -38.98
1236.95  854.26  -382.69
792.02  953.30  161.28
767.77  1235.82  468.05
397.30  426.19  28.89
521.21  605.83  84.62
495.19  572.68  77.48
372.81  404.76  31.95
495.77  519.53  23.76
577.87  466.80  -111.07
499.81  566.19  66.38
609.65  620.84  11.19
674.19  712.13  37.94
495.28  546.50  51.23
924.27  1062.32  138.05
436.12  480.00  43.88
571.21  524.20  -47.01
541.68  473.23  -68.45
470.74  528.29  57.55
469.69  492.87  23.17
356.66  400.94  44.28
375.79  454.65  78.86
549.06  476.61  -72.45
375.73  414.28  38.55
409.32  423.47  14.16
888.32  775.13  -113.19
1024.18  1078.29  54.11
554.11  509.50  -44.61
359.97  395.82  35.86
428.52  427.49  -1.03
470.08  539.72  69.63
708.68  559.61  -149.07
669.91  720.53  50.62
557.14  607.25  50.11
619.73  516.47  -103.26
359.16  389.40  30.24
394.30  413.76  19.47
393.89  454.69  60.80
503.56  700.57  197.00
622.47  544.98  -77.49
599.98  477.19  -122.80
446.32  395.08  -51.24
839.23  636.32  -202.92
459.17  479.72  20.55
577.06  508.83  -68.23
442.54  410.78  -31.76
648.67  721.45  72.78
369.71  408.22  38.51
639.03  624.82  -14.20
390.62  394.61  3.98
500.25  513.11  12.86
365.59  406.04  40.44
437.48  401.01  -36.46
444.88  437.22  -7.66
434.64  413.54  -21.10
521.01  502.30  -18.71
457.70  426.43  -31.27
835.09  781.81  -53.28
448.63  494.52  45.89
508.31  456.60  -51.71
542.68  501.25  -41.43
398.16  457.68  59.52
365.30  422.89  57.59
387.79  412.63  24.84
384.82  402.80  17.98
411.95  491.32  79.37
384.88  406.99  22.11
451.84  488.22  36.38
521.37  558.92  37.55
506.28  467.54  -38.74
1034.97  990.33  -44.65
459.78  405.54  -54.24
351.47  380.31  28.83
503.40  551.78  48.37
866.52  1000.72  134.19
391.36  439.57  48.22
615.02  463.69  -151.34
453.74  600.94  147.19
493.15  610.24  117.09
487.39  522.24  34.84
460.75  423.31  -37.43
533.09  484.42  -48.66
514.93  480.17  -34.76
778.01  795.77  17.76
655.39  685.25  29.86
466.31  490.60  24.29
498.22  485.59  -12.63
466.39  508.85  42.45
413.91  415.13  1.22
356.91  385.32  28.41
675.26  709.62  34.36
447.91  440.40  -7.52
446.58  652.18  205.59
365.47  397.25  31.77
396.39  481.68  85.29
910.55  694.21  -216.34
955.23  1204.55  249.31
445.97  414.86  -31.10
810.21  643.29  -166.92
587.69  610.76  23.07
607.13  651.73  44.59
351.31  372.27  20.96
604.82  491.03  -113.78
397.04  464.09  67.05
484.66  535.38  50.72
576.98  598.62  21.64
382.20  378.19  -4.01
408.03  482.44  74.41
571.15  727.22  156.07
470.78  668.80  198.02
661.24  730.65  69.41
494.84  489.13  -5.71
438.17  452.43  14.26
599.40  552.76  -46.64
456.69  414.84  -41.85
540.75  582.10  41.35
578.63  592.24  13.61
502.30  534.22  31.92
424.39  457.40  33.01
568.59  494.31  -74.28
449.90  468.98  19.08
484.51  424.18  -60.32
411.20  412.42  1.22
349.70  383.77  34.07
901.68  1017.09  115.41
688.66  678.91  -9.75
591.27  664.79  73.52
669.14  736.16  67.02
668.10  508.95  -159.16
638.42  535.10  -103.32
476.38  519.36  42.98
686.32  743.03  56.71
825.70  687.65  -138.04
460.26  423.64  -36.62
347.15  383.74  36.59
496.11  414.03  -82.08
595.86  627.52  31.66
645.04  651.73  6.69
667.98  605.94  -62.04
400.27  444.51  44.24
700.82  706.61  5.79
383.81  430.87  47.07
496.69  412.24  -84.45
626.40  496.19  -130.22
518.15  441.13  -77.02
825.68  622.08  -203.61
682.51  663.73  -18.78
357.80  416.32  58.52
386.50  380.55  -5.95
386.90  431.82  44.92
590.58  546.88  -43.70
626.46  617.81  -8.65
1501.58  1573.31  71.73
392.00  436.70  44.70
356.39  392.53  36.13
384.32  385.41  1.09
731.99  680.71  -51.28
460.24  420.91  -39.34
448.36  459.07  10.71
702.50  528.16  -174.34
584.45  498.70  -85.75
455.37  448.82  -6.55
495.09  504.68  9.59
664.80  724.45  59.65
350.42  415.38  64.96
474.31  454.30  -20.01
644.84  495.14  -149.70
382.63  404.29  21.66
535.94  548.49  12.55
559.85  521.87  -37.98
561.10  492.72  -68.38
421.16  485.28  64.11
516.87  543.80  26.93
524.76  405.18  -119.59
424.59  421.82  -2.77
446.57  466.93  20.37
506.74  531.30  24.56
520.53  816.56  296.03
549.39  523.39  -26.00
393.55  436.99  43.43
824.94  836.32  11.38
402.82  418.66  15.84
466.00  434.15  -31.85
498.83  478.24  -20.60
395.56  424.97  29.41
624.51  562.78  -61.74
526.83  431.00  -95.83
821.54  742.92  -78.62
388.80  456.59  67.79
501.14  540.54  39.39
549.07  659.41  110.34
484.54  510.15  25.62
543.74  601.40  57.66
845.73  902.17  56.44
375.41  416.41  40.99
936.55  821.95  -114.59
624.33  470.61  -153.73
471.61  414.17  -57.44
499.22  495.11  -4.10
589.91  679.63  89.72
345.85  406.07  60.22
464.21  499.02  34.81
804.20  692.53  -111.66
488.84  441.55  -47.29
1085.81  1051.70  -34.11
377.10  420.22  43.12
438.71  414.27  -24.44
512.88  480.04  -32.83
539.99  563.83  23.84
562.39  515.44  -46.95
585.23  558.29  -26.94
470.42  425.28  -45.14
477.12  492.43  15.31
367.35  406.66  39.31
351.28  381.22  29.94
476.69  452.91  -23.78
633.42  778.32  144.90
628.81  546.47  -82.35
953.40  866.18  -87.23
643.02  724.12  81.10
622.36  566.51  -55.85
555.30  527.18  -28.12
365.76  385.15  19.39
463.91  466.19  2.28
495.07  539.07  44.00
440.26  393.68  -46.58
509.24  526.58  17.35
385.94  419.70  33.76
443.27  461.90  18.63
498.01  660.67  162.66
496.44  480.03  -16.41
817.84  720.17  -97.67
519.95  479.49  -40.46
461.92  446.44  -15.48
493.38  532.66  39.28
435.75  410.93  -24.82
472.06  410.41  -61.65
436.74  396.25  -40.49
625.89  419.66  -206.23
374.67  390.85  16.17
481.33  582.74  101.40
745.56  525.09  -220.47
681.86  659.35  -22.51
758.77  773.39  14.63
378.25  422.25  44.00
454.85  512.89  58.04
378.77  384.91  6.14
473.67  515.06  41.38
370.06  407.10  37.04
373.20  422.71  49.51
463.73  471.58  7.85
437.58  390.89  -46.69
470.59  431.51  -39.08
429.18  497.00  67.82
373.96  392.38  18.42
403.76  379.32  -24.44
709.09  691.79  -17.30
506.14  494.87  -11.27
512.12  505.33  -6.79
354.26  374.69  20.43
938.00  869.11  -68.89
585.75  733.10  147.35
413.83  415.48  1.65
610.19  496.35  -113.84
426.09  408.21  -17.87
614.46  669.71  55.26
363.60  451.21  87.61
535.61  450.54  -85.07
949.93  848.38  -101.55
784.03  512.50  -271.53
548.25  635.04  86.80
428.95  469.93  40.98
361.26  394.99  33.74
770.45  718.63  -51.81
503.50  439.51  -63.99
628.49  591.22  -37.27
509.59  584.23  74.64
919.10  770.43  -148.67
739.38  742.87  3.50
374.17  466.59  92.43
708.93  559.61  -149.32
434.08  518.89  84.81
456.38  435.11  -21.27
596.74  546.46  -50.28
481.58  500.34  18.76
518.19  599.15  80.96
610.23  596.51  -13.71
401.30  395.91  -5.39
757.78  702.86  -54.92
383.28  421.80  38.52
432.67  403.89  -28.78
548.33  658.46  110.13
562.50  454.68  -107.82
720.14  698.59  -21.55
598.18  554.69  -43.49
351.25  386.09  34.84
375.90  416.54  40.64
352.04  416.68  64.64
806.84  796.42  -10.42
815.81  703.41  -112.39
481.06  463.14  -17.93
396.42  499.03  102.61
489.39  512.59  23.20
419.11  439.62  20.51
578.81  677.83  99.01
420.18  382.41  -37.78
553.01  506.91  -46.10
500.97  489.47  -11.51
552.77  606.53  53.76
680.98  428.54  -252.44
548.07  413.25  -134.82
471.53  534.92  63.38
688.95  723.02  34.07
362.01  396.26  34.25
480.82  441.38  -39.45
633.96  610.37  -23.59
483.65  515.52  31.87
427.05  400.81  -26.24
480.60  484.37  3.76
357.92  380.09  22.17
589.08  648.59  59.51
506.79  596.69  89.90
920.95  827.50  -93.45
402.56  443.34  40.78
350.02  451.12  101.09
517.28  522.60  5.32
571.09  501.70  -69.39
745.59  659.11  -86.47
394.59  462.02  67.43
1073.74  1099.37  25.63
353.94  374.93  21.00
990.95  763.25  -227.70
503.06  465.24  -37.82
543.16  509.28  -33.88
1076.23  1130.26  54.03
369.87  397.95  28.08
452.08  487.94  35.85
418.55  395.73  -22.82
713.62  742.41  28.78
674.48  661.01  -13.47
1029.67  689.70  -339.97
518.14  447.59  -70.55
581.67  608.55  26.89
434.28  411.36  -22.91
696.54  766.40  69.86
521.93  481.25  -40.68
450.00  409.77  -40.23
548.10  522.59  -25.52
412.76  399.90  -12.86
430.60  438.95  8.35
407.81  435.82  28.01
485.66  504.95  19.29
1138.66  1145.88  7.22
415.15  397.27  -17.87
457.16  478.41  21.24
543.99  579.31  35.33
656.51  602.31  -54.20
427.06  436.56  9.51
853.88  937.51  83.63
392.20  379.69  -12.51
753.28  638.27  -115.01
435.23  427.94  -7.29
451.43  495.20  43.77
490.69  549.53  58.84
710.27  532.54  -177.73
401.96  401.00  -0.96
347.26  388.33  41.07
358.44  404.06  45.62
615.80  543.96  -71.85
438.90  392.26  -46.64
399.42  379.44  -19.98
580.75  619.13  38.38
467.44  471.43  3.99
394.85  409.59  14.74
667.15  472.77  -194.39
401.28  460.06  58.78
516.64  411.19  -105.45
488.58  507.81  19.23
413.09  634.77  221.68
452.98  617.66  164.69
412.87  459.79  46.92
371.65  421.61  49.96
642.11  589.97  -52.15
1118.01  896.34  -221.67
619.12  489.55  -129.56
935.17  812.03  -123.14
554.70  578.32  23.62
1143.14  995.68  -147.45
1022.23  817.66  -204.57
402.60  394.22  -8.38
384.98  464.89  79.91
496.04  455.51  -40.53
492.71  501.62  8.91
859.73  762.13  -97.59
426.93  446.57  19.64
974.97  766.84  -208.13
527.99  529.19  1.21
570.50  623.55  53.04
351.62  411.83  60.21
713.36  630.73  -82.63
405.20  387.15  -18.05
440.95  452.09  11.14
510.66  501.12  -9.55
462.98  492.50  29.52
472.16  529.76  57.60
554.61  518.30  -36.31
389.44  418.91  29.47
656.11  695.97  39.86
1161.62  1213.13  51.51
479.68  488.28  8.60
1071.13  1095.96  24.83
395.70  487.68  91.98
486.87  502.36  15.48
398.67  444.90  46.23
474.80  471.33  -3.47
457.33  480.26  22.93
500.70  439.44  -61.27
465.97  466.55  0.59
413.58  498.00  84.42
732.08  580.92  -151.16
447.93  422.14  -25.78
406.56  423.03  16.46
499.70  513.65  13.95
487.55  602.62  115.07
993.02  842.34  -150.68
523.43  621.24  97.82
361.33  439.63  78.31
596.08  582.53  -13.55
400.46  424.26  23.81
781.29  641.92  -139.37
936.19  1020.23  84.04
625.82  634.54  8.73
565.00  633.41  68.41
619.61  739.14  119.53
400.27  410.09  9.82
430.10  476.38  46.27
663.98  744.72  80.75
846.62  613.63  -233.00
394.69  420.19  25.50
491.57  420.68  -70.90
391.22  414.34  23.12
514.32  605.32  91.00
355.93  392.38  36.44
513.78  485.66  -28.13
523.36  591.11  67.76
590.81  614.20  23.38
356.13  499.10  142.97
443.80  500.81  57.01
550.61  597.78  47.17
649.45  519.07  -130.38
632.57  557.36  -75.21
905.69  812.38  -93.31
902.42  956.56  54.14
765.38  746.29  -19.10
464.75  487.09  22.33
423.73  475.70  51.96
598.20  633.22  35.02
552.84  587.86  35.02
769.14  899.43  130.28
350.88  377.60  26.72
645.97  734.67  88.70
400.79  470.67  69.88
338.39  420.83  82.44
541.04  570.78  29.74
448.45  462.78  14.33
423.13  463.77  40.64
656.23  620.75  -35.48
1409.12  1091.64  -317.48
544.03  453.85  -90.18
478.54  500.49  21.95
415.14  434.20  19.07
606.69  613.36  6.67
381.49  398.18  16.69
705.19  516.57  -188.62
380.38  436.29  55.90
392.17  451.21  59.04
481.02  450.55  -30.47
496.47  483.09  -13.38
899.67  979.44  79.78
461.63  432.05  -29.58
473.42  423.24  -50.18
352.12  413.36  61.23
522.96  531.64  8.67
492.90  437.67  -55.22
416.19  486.57  70.38
596.54  554.18  -42.36
600.57  701.41  100.84
568.46  638.87  70.41
424.51  481.80  57.28
446.77  416.04  -30.73
468.13  420.62  -47.51
557.61  646.79  89.18
499.38  460.17  -39.20
465.48  466.71  1.23
495.75  484.78  -10.97
462.30  408.54  -53.76
784.03  726.97  -57.06
591.00  665.43  74.43
509.45  532.42  22.97
761.15  802.65  41.50
398.68  441.95  43.27
426.26  440.69  14.43
399.95  437.56  37.62
493.68  456.39  -37.28
759.26  867.61  108.35
419.29  485.45  66.15
921.51  1009.87  88.36
605.51  684.49  78.98
384.43  390.96  6.53
747.64  736.05  -11.60
746.73  828.87  82.14
367.73  414.09  46.36
490.46  496.20  5.73
1083.46  1231.48  148.03
505.51  447.45  -58.06
640.50  576.81  -63.69
398.33  438.62  40.29
530.99  514.66  -16.33
378.83  401.52  22.69
555.66  628.64  72.98
700.06  624.51  -75.55
387.63  422.96  35.33
746.75  676.01  -70.75
371.20  444.99  73.79
860.11  1132.25  272.14
841.04  786.40  -54.64
401.03  413.98  12.95
525.79  503.45  -22.33
420.19  428.95  8.76
360.08  421.12  61.04
532.89  610.81  77.93
392.05  423.34  31.30
440.44  456.52  16.08
357.81  432.87  75.06
425.70  442.49  16.79
430.14  489.89  59.75
507.76  415.95  -91.81
486.13  447.34  -38.79
604.07  597.44  -6.64
399.36  455.30  55.94
526.56  717.62  191.06
414.36  442.90  28.54
507.72  504.58  -3.14
359.08  438.25  79.17
425.05  470.64  45.60
442.69  505.66  62.97
540.93  529.22  -11.71
448.96  425.29  -23.68
378.85  452.74  73.88
407.06  405.02  -2.05
437.01  463.00  25.99
505.35  485.20  -20.15
881.01  797.48  -83.53
839.32  674.95  -164.37
438.50  482.14  43.64
387.03  390.55  3.52
571.02  474.73  -96.30
407.75  455.87  48.13
501.05  451.21  -49.83
629.01  559.20  -69.80
686.80  572.79  -114.01
1097.83  1026.40  -71.43
394.86  432.48  37.63
434.49  446.92  12.44
535.71  547.43  11.72
356.62  379.45  22.84
771.43  652.32  -119.11
450.32  425.54  -24.78
591.52  521.40  -70.12
722.83  608.02  -114.82
618.63  641.57  22.94
453.64  504.99  51.35
616.05  551.54  -64.51
448.57  476.65  28.08
617.60  642.03  24.43
420.64  431.54  10.90
1075.31  718.14  -357.18
505.79  583.35  77.56
455.14  450.37  -4.76
1541.66  887.70  -653.97
620.69  577.61  -43.08
574.74  569.92  -4.82
430.62  376.47  -54.15
485.62  384.42  -101.20
732.94  653.56  -79.37
577.56  521.83  -55.73
538.84  582.42  43.58
396.36  469.80  73.44
405.39  400.56  -4.83
692.77  700.00  7.23
728.74  604.53  -124.21
430.54  466.28  35.74
562.21  575.08  12.86
795.07  554.11  -240.96
697.62  610.26  -87.36
760.07  674.28  -85.78
446.93  477.71  30.78
404.49  445.90  41.42
427.57  381.77  -45.81
625.30  480.17  -145.12
388.14  402.81  14.67
375.22  442.48  67.27
369.46  392.99  23.53
425.09  503.60  78.51
404.01  399.64  -4.37
515.99  453.56  -62.43
629.95  651.24  21.30
407.64  467.16  59.53
493.66  487.22  -6.44
353.17  405.26  52.09
576.77  546.24  -30.54
406.37  490.12  83.74
459.54  444.60  -14.94
469.08  544.33  75.25
366.36  417.64  51.28
660.32  566.75  -93.57
489.28  542.64  53.37
423.81  416.66  -7.15
494.77  558.01  63.23
398.15  444.04  45.89
452.50  413.09  -39.41
556.62  591.64  35.02
793.57  1080.51  286.95
599.38  440.98  -158.40
663.98  628.14  -35.85
1599.20  1134.02  -465.18
487.63  591.15  103.52
572.59  577.43  4.84
592.25  535.31  -56.95
588.07  642.61  54.54
474.27  527.30  53.03
483.63  486.18  2.55
562.93  508.25  -54.68
401.85  403.76  1.91
368.21  444.03  75.82
439.79  558.36  118.57
389.15  373.90  -15.25
424.07  455.63  31.56
756.26  777.94  21.68
779.83  780.44  0.61
486.07  582.78  96.70
766.36  703.47  -62.90
496.70  465.20  -31.51
386.42  410.62  24.20
407.49  468.25  60.75
392.45  433.41  40.95
372.13  396.12  23.99
622.62  619.91  -2.71
398.76  399.99  1.23
431.09  425.69  -5.40
769.95  736.42  -33.54
509.38  550.22  40.84
751.75  993.34  241.58
508.24  564.55  56.30
562.85  540.41  -22.44
473.93  492.85  18.92
522.37  565.83  43.46
479.89  526.79  46.89
397.93  446.53  48.60
439.24  406.18  -33.06
368.18  436.85  68.67
415.09  452.60  37.51
630.57  643.35  12.77
482.56  514.89  32.33
691.26  739.86  48.60
551.47  590.75  39.28
431.34  521.60  90.25
492.31  430.26  -62.05
405.04  379.97  -25.07
418.18  435.37  17.19
534.71  672.41  137.69
1169.16  1181.76  12.60
464.74  423.76  -40.97
665.39  515.67  -149.72
412.65  388.69  -23.96
406.67  401.60  -5.08
527.13  469.73  -57.40
507.40  403.17  -104.22
380.21  453.36  73.15
640.96  664.43  23.48
584.53  474.56  -109.96
595.46  650.61  55.15
568.84  520.81  -48.02
350.92  447.97  97.05
414.74  423.26  8.53
443.89  538.01  94.12
402.67  473.38  70.71
908.85  620.96  -287.90
445.69  439.01  -6.69
364.17  405.32  41.15
405.34  393.57  -11.76
391.13  399.05  7.91
351.44  387.50  36.07
435.33  449.35  14.02
442.12  445.40  3.27
489.88  438.22  -51.66
450.39  519.04  68.65
401.36  412.97  11.61
591.97  738.12  146.14
400.38  426.50  26.12
598.72  612.16  13.44
397.46  517.67  120.21
357.55  428.00  70.45
665.63  583.61  -82.02
617.02  481.51  -135.51
611.75  495.79  -115.95
377.75  872.47  494.72
457.46  385.66  -71.81
